001  00001 |Loss: 6.895 | Acc: 0.000% 
001  00002 |Loss: 6.895 | Acc: 0.000% 
001  00003 |Loss: 6.905 | Acc: 0.000% 
001  00004 |Loss: 6.867 | Acc: 0.781% 
001  00005 |Loss: 6.824 | Acc: 0.625% 
001  00006 |Loss: 6.793 | Acc: 0.781% 
001  00007 |Loss: 6.749 | Acc: 1.004% 
001  00008 |Loss: 6.709 | Acc: 1.562% 
001  00009 |Loss: 6.662 | Acc: 2.083% 
001  00010 |Loss: 6.607 | Acc: 3.047% 
001  00011 |Loss: 6.543 | Acc: 4.048% 
001  00012 |Loss: 6.491 | Acc: 4.557% 
001  00013 |Loss: 6.427 | Acc: 5.349% 
001  00014 |Loss: 6.361 | Acc: 5.804% 
001  00015 |Loss: 6.298 | Acc: 6.458% 
001  00016 |Loss: 6.228 | Acc: 6.689% 
001  00017 |Loss: 6.153 | Acc: 6.985% 
001  00018 |Loss: 6.078 | Acc: 7.422% 
001  00019 |Loss: 6.006 | Acc: 7.812% 
001  00020 |Loss: 5.938 | Acc: 7.891% 
001  00021 |Loss: 5.859 | Acc: 8.259% 
001  00022 |Loss: 5.787 | Acc: 8.629% 
001  00023 |Loss: 5.712 | Acc: 9.103% 
001  00024 |Loss: 5.636 | Acc: 9.277% 
001  00025 |Loss: 5.562 | Acc: 9.469% 
001  00026 |Loss: 5.486 | Acc: 9.736% 
001  00027 |Loss: 5.411 | Acc: 9.867% 
001  00028 |Loss: 5.340 | Acc: 9.989% 
001  00029 |Loss: 5.273 | Acc: 10.210% 
001  00030 |Loss: 5.200 | Acc: 10.469% 
001  00031 |Loss: 5.128 | Acc: 10.988% 
001  00032 |Loss: 5.060 | Acc: 11.060% 
001  00033 |Loss: 4.995 | Acc: 11.482% 
001  00034 |Loss: 4.933 | Acc: 11.719% 
001  00035 |Loss: 4.870 | Acc: 11.741% 
001  00036 |Loss: 4.809 | Acc: 11.914% 
001  00037 |Loss: 4.749 | Acc: 12.120% 
001  00038 |Loss: 4.690 | Acc: 12.418% 
001  00039 |Loss: 4.636 | Acc: 12.580% 
001  00040 |Loss: 4.581 | Acc: 12.793% 
001  00041 |Loss: 4.529 | Acc: 12.900% 
001  00042 |Loss: 4.477 | Acc: 13.244% 
001  00043 |Loss: 4.430 | Acc: 13.299% 
001  00044 |Loss: 4.385 | Acc: 13.565% 
001  00045 |Loss: 4.341 | Acc: 13.698% 
001  00046 |Loss: 4.298 | Acc: 13.706% 
001  00047 |Loss: 4.256 | Acc: 13.930% 
001  00048 |Loss: 4.214 | Acc: 14.111% 
001  00049 |Loss: 4.175 | Acc: 14.270% 
001  00050 |Loss: 4.137 | Acc: 14.406% 
001  00051 |Loss: 4.102 | Acc: 14.568% 
001  00052 |Loss: 4.067 | Acc: 14.603% 
001  00053 |Loss: 4.032 | Acc: 14.741% 
001  00054 |Loss: 3.999 | Acc: 14.858% 
001  00055 |Loss: 3.967 | Acc: 15.043% 
001  00056 |Loss: 3.935 | Acc: 15.234% 
001  00057 |Loss: 3.905 | Acc: 15.282% 
001  00058 |Loss: 3.876 | Acc: 15.409% 
001  00059 |Loss: 3.847 | Acc: 15.519% 
001  00060 |Loss: 3.821 | Acc: 15.482% 
001  00061 |Loss: 3.793 | Acc: 15.702% 
001  00062 |Loss: 3.767 | Acc: 15.751% 
001  00063 |Loss: 3.741 | Acc: 15.848% 
